Moneyness,Price % European Double KO +10 vol,Delta % European Double KO +10 vol,Vega European Double KO +10 vol
0.6,0.028969107,0.313587204,-0.35
0.602,0.029211785,0.314098435,-0.36
0.604,0.029385309,0.313850153,-0.37
0.606,0.029605786,0.31420626,-0.38
0.608,0.029803125,0.314106766,-0.39
0.61,0.030000789,0.313704296,-0.41
0.612,0.030221995,0.314040341,-0.42
0.614,0.030420022,0.313625782,-0.43
0.616,0.030618763,0.31381227,-0.44
0.618,0.030795077,0.313268869,-0.45
0.62,0.031018228,0.313294808,-0.46
0.622,0.031218834,0.312885278,-0.47
0.624,0.031419505,0.312767298,-0.48
0.626,0.031643666,0.312776483,-0.49
0.628,0.031845534,0.312660494,-0.51
0.63,0.032047499,0.312238244,-0.52
0.632,0.032273315,0.312236288,-0.53
0.634,0.032430055,0.311563126,-0.54
0.636,0.032633467,0.311131672,-0.55
0.638,0.032837938,0.311004406,-0.56
0.64,0.032996344,0.310041367,-0.57
0.642,0.03324795,0.310136142,-0.58
0.644,0.033384454,0.309061261,-0.59
0.646,0.033567633,0.308511259,-0.6
0.648,0.033774698,0.308070482,-0.62
0.65,0.033958938,0.307515057,-0.63
0.652,0.03414395,0.306662625,-0.64
0.654,0.034329499,0.306106262,-0.65
0.656,0.034515697,0.305549836,-0.66
0.658,0.034679845,0.304602377,-0.67
0.66,0.034890641,0.304147209,-0.68
0.662,0.035056012,0.303198045,-0.69
0.664,0.035221895,0.302249419,-0.7
0.666,0.035435065,0.301791278,-0.71
0.668,0.035625993,0.301240547,-0.72
0.67,0.035794224,0.300296744,-0.73
0.672,0.03598664,0.299443671,-0.74
0.674,0.036179477,0.298587262,-0.75
0.676,0.036350233,0.297652459,-0.76
0.678,0.036521761,0.296717468,-0.77
0.68,0.036693949,0.295781807,-0.78
0.682,0.036867095,0.294847716,-0.79
0.684,0.037041105,0.293916902,-0.8
0.686,0.037193046,0.292615364,-0.81
0.688,0.037391842,0.29175924,-0.82
0.69,0.037545377,0.290458252,-0.83
0.692,0.037699893,0.28946311,-0.84
0.694,0.03787852,0.288240734,-0.85
0.696,0.038035068,0.287251195,-0.86
0.698,0.038192697,0.285966883,-0.87
0.7,0.038374833,0.285052132,-0.88
0.702,0.038534545,0.283774571,-0.89
0.704,0.038718464,0.282559443,-0.9
0.706,0.038856961,0.281223654,-0.91
0.708,0.039019736,0.280251983,-0.92
0.71,0.039160446,0.27862958,-0.93
0.712,0.039325173,0.277361607,-0.93
0.714,0.039467776,0.276042587,-0.94
0.716,0.039634633,0.274779375,-0.95
0.718,0.039779557,0.273469809,-0.96
0.72,0.039948314,0.272206701,-0.97
0.722,0.040072068,0.270554351,-0.98
0.724,0.040243068,0.269297171,-0.99
0.726,0.040391975,0.267699074,-1
0.728,0.040518686,0.266060424,-1
0.73,0.040692722,0.26510227,-1.01
0.732,0.040844969,0.263510776,-1.02
0.734,0.040975038,0.261883186,-1.03
0.736,0.041129312,0.26029262,-1.04
0.738,0.041284741,0.259001994,-1.04
0.74,0.041395213,0.257354123,-1.05
0.742,0.041552791,0.255767245,-1.06
0.744,0.04168856,0.254153056,-1.07
0.746,0.041802263,0.252517512,-1.07
0.748,0.041963562,0.250935796,-1.08
0.75,0.042079468,0.249304504,-1.09
0.752,0.042219884,0.24770158,-1.1
0.754,0.042338323,0.245781279,-1.1
0.756,0.042457873,0.244163171,-1.11
0.758,0.042601675,0.242563202,-1.12
0.76,0.042746851,0.240967398,-1.13
0.762,0.042870028,0.239057841,-1.13
0.764,0.042948037,0.237124679,-1.14
0.766,0.043073753,0.235523137,-1.14
0.768,0.043247261,0.233943691,-1.15
0.77,0.043329504,0.231731932,-1.16
0.772,0.04345894,0.230133962,-1.16
0.774,0.043566605,0.228233442,-1.17
0.776,0.043698237,0.226336308,-1.18
0.778,0.04383114,0.224440432,-1.18
0.78,0.04391893,0.2225464,-1.19
0.782,0.04403123,0.220656652,-1.2
0.784,0.044144513,0.218765951,-1.2
0.786,0.044282368,0.217174316,-1.21
0.788,0.044375149,0.214994469,-1.21
0.79,0.044469158,0.213116909,-1.22
0.792,0.044587516,0.211233912,-1.22
0.794,0.044684137,0.209363464,-1.23
0.796,0.044804977,0.207183587,-1.24
0.798,0.044903986,0.205613527,-1.24
0.8,0.045004318,0.203450964,-1.24
0.802,0.045105882,0.201586719,-1.25
0.804,0.045185467,0.199442284,-1.25
0.806,0.045312764,0.197564814,-1.26
0.808,0.045395001,0.195426506,-1.26
0.81,0.045524613,0.193544447,-1.27
0.812,0.045586362,0.19143428,-1.27
0.814,0.045672329,0.18930361,-1.28
0.816,0.045782727,0.187445469,-1.28
0.818,0.045871281,0.185317891,-1.29
0.82,0.045961197,0.183490269,-1.29
0.822,0.046029028,0.181094475,-1.29
0.824,0.046144665,0.179238995,-1.3
0.826,0.046215142,0.177147426,-1.3
0.828,0.046286922,0.174759771,-1.31
0.83,0.046383118,0.172936551,-1.31
0.832,0.046480696,0.170814883,-1.31
0.834,0.046556455,0.168433411,-1.32
0.836,0.046633758,0.166654839,-1.32
0.838,0.046758386,0.164491983,-1.32
0.84,0.046791863,0.162199369,-1.33
0.842,0.046872817,0.160122629,-1.33
0.844,0.046955202,0.158046398,-1.33
0.846,0.047038546,0.155967179,-1.34
0.848,0.047100385,0.153939431,-1.34
0.85,0.04716325,0.151613087,-1.34
0.852,0.047250598,0.149534021,-1.34
0.854,0.047339182,0.147455465,-1.35
0.856,0.047382891,0.145183959,-1.35
0.858,0.047473865,0.143101401,-1.35
0.86,0.04754332,0.141075611,-1.35
0.862,0.047567507,0.138567641,-1.36
0.864,0.047662463,0.136481182,-1.36
0.866,0.047689274,0.134278421,-1.36
0.868,0.047763649,0.131952601,-1.36
0.87,0.047815926,0.12998667,-1.36
0.872,0.047869467,0.127421734,-1.36
0.874,0.04790095,0.125221655,-1.37
0.876,0.047980045,0.123187014,-1.37
0.878,0.047990998,0.120760886,-1.37
0.88,0.048072536,0.118723062,-1.37
0.882,0.048155352,0.116683068,-1.37
0.884,0.048193179,0.114187386,-1.37
0.886,0.048232135,0.111990727,-1.37
0.888,0.04827246,0.109795866,-1.37
0.89,0.048313968,0.107601197,-1.38
0.892,0.048379745,0.105325924,-1.38
0.894,0.048446897,0.103050981,-1.38
0.896,0.048491884,0.100853053,-1.38
0.898,0.048561345,0.0988715,-1.38
0.9,0.048609257,0.096373419,-1.38
0.902,0.048635225,0.094257604,-1.38
0.904,0.048685503,0.092055092,-1.38
0.906,0.048713969,0.089641028,-1.38
0.908,0.048743457,0.087522984,-1.38
0.91,0.048797488,0.085317183,-1.38
0.912,0.048829427,0.082898895,-1.38
0.914,0.048885759,0.080685882,-1.38
0.916,0.048897026,0.078658129,-1.38
0.918,0.048932649,0.076236809,-1.38
0.92,0.048992442,0.074313643,-1.38
0.922,0.049030493,0.071887559,-1.38
0.924,0.049000111,0.069754984,-1.38
0.926,0.049063606,0.067525312,-1.38
0.928,0.049105036,0.065391685,-1.38
0.93,0.049101388,0.063160379,-1.38
0.932,0.049145185,0.061023195,-1.38
0.934,0.049190172,0.058581378,-1.38
0.936,0.049213054,0.056541475,-1.37
0.938,0.049214135,0.054308998,-1.37
0.94,0.049239365,0.051966977,-1.37
0.942,0.049265782,0.049921429,-1.37
0.944,0.049293379,0.04757458,-1.37
0.946,0.049275677,0.045449243,-1.37
0.948,0.049351873,0.043169138,-1.37
0.95,0.049336458,0.041042733,-1.37
0.952,0.049391711,0.038865273,-1.36
0.954,0.049401679,0.036619756,-1.36
0.956,0.049366654,0.034309863,-1.36
0.958,0.049378658,0.032059839,-1.36
0.96,0.049391882,0.029806039,-1.36
0.962,0.049405933,0.027548074,-1.35
0.964,0.049398172,0.025413905,-1.35
0.966,0.049437787,0.023028461,-1.35
0.968,0.049455477,0.021063429,-1.35
0.97,0.04942805,0.018751753,-1.35
0.972,0.049447839,0.016481572,-1.34
0.974,0.049468799,0.014506768,-1.34
0.976,0.049467667,0.012359156,-1.34
0.978,0.049467516,0.010209181,-1.34
0.98,0.049468526,0.008056726,-1.33
0.982,0.049470561,0.00590121,-1.33
0.984,0.049519824,0.003769071,-1.33
0.986,0.0495009,0.001443335,-1.33
0.988,0.049459584,-0.00044734,-1.32
0.99,0.049489043,-0.002456168,-1.32
0.992,0.049496106,-0.004928653,-1.32
0.994,0.049504327,-0.006808365,-1.32
0.996,0.049490412,-0.009146371,-1.31
0.998,0.049431177,-0.01119882,-1.31
1,0.049465563,-0.013233401,-1.31
1.002,0.049454622,-0.015280641,-1.3
1.004,0.049444679,-0.017332124,-1.3
1.006,0.049458874,-0.019534632,-1.3
1.008,0.04945092,-0.021593082,-1.29
1.01,0.049443885,-0.023656184,-1.29
1.012,0.049437964,-0.02572217,-1.29
1.014,0.049409622,-0.027938882,-1.28
1.016,0.04940565,-0.030012335,-1.28
1.018,0.049402414,-0.032090616,-1.27
1.02,0.04937711,-0.034017562,-1.27
1.022,0.049375883,-0.036104439,-1.27
1.024,0.049329207,-0.03817722,-1.26
1.026,0.049353058,-0.040134469,-1.26
1.028,0.049308277,-0.042212194,-1.26
1.03,0.049310777,-0.044019428,-1.25
1.032,0.049291006,-0.046265986,-1.25
1.034,0.049295288,-0.048382831,-1.24
1.036,0.049254479,-0.050173702,-1.24
1.038,0.049214704,-0.052265472,-1.24
1.04,0.049198776,-0.054229104,-1.23
1.042,0.049160603,-0.056328868,-1.23
1.044,0.049146362,-0.058303293,-1.22
1.046,0.049132902,-0.060281654,-1.22
1.048,0.049143547,-0.062437216,-1.21
1.05,0.049085365,-0.064377274,-1.21
1.052,0.049051411,-0.066193119,-1.2
1.054,0.049018208,-0.068312999,-1.2
1.056,0.049032101,-0.070192753,-1.2
1.058,0.048977532,-0.072142767,-1.19
1.06,0.0489468,-0.073976565,-1.19
1.062,0.04894022,-0.075993474,-1.18
1.064,0.04891113,-0.077835876,-1.18
1.066,0.048883025,-0.079683488,-1.17
1.068,0.0488325,-0.081649054,-1.17
1.07,0.048782783,-0.0836185,-1.16
1.072,0.048780236,-0.085365018,-1.16
1.074,0.048732096,-0.087341388,-1.15
1.076,0.048731104,-0.08910072,-1.15
1.078,0.048661476,-0.090896421,-1.14
1.08,0.048662023,-0.092966143,-1.14
1.082,0.048640181,-0.094552974,-1.13
1.084,0.048596053,-0.096551198,-1.13
1.086,0.048575731,-0.098448254,-1.12
1.088,0.048486825,-0.100064517,-1.12
1.09,0.04846816,-0.101971114,-1.11
1.092,0.048426915,-0.103686117,-1.11
1.094,0.048386554,-0.105404889,-1.1
1.096,0.048323716,-0.107229854,-1.1
1.098,0.048331086,-0.109058317,-1.09
1.1,0.048269765,-0.110889897,-1.08
1.102,0.048232216,-0.112628875,-1.08
1.104,0.048172439,-0.114467621,-1.07
1.106,0.048159371,-0.116419235,-1.07
1.108,0.048100939,-0.117967407,-1.06
1.11,0.048066453,-0.119726049,-1.06
1.112,0.048055844,-0.121398659,-1.05
