Date,Google,Microsoft,Apple,log_Google,log_Microsoft,log_Apple,3m,6m,1y,Google3m,Microsoft3m,Apple3m,Google6m,Microsoft6m,Apple6m,Google1y,Microsoft1y,Apple1y,wo3m,b3m,bo3m,wo6m,b6m,bo6m,wo1y,b1y,bo1y,wo3mtracker,b3mtracker,bo3mtracker,wo6mtracker,b6mtracker,bo6mtracker,wo1ytracker,b1ytracker,bo1ytracker,wo3matmc,b3matmc,bo3matmc,wo6matmc,b6matmc,bo6matmc,wo1yatmc,b1yatmc,bo1yatmc,wo3mcpn,b3mcpn,bo3mcpn,wo6mcpn,b6mcpn,bo6mcpn,wo1ycpn,b1ycpn,bo1ycpn,wo3matmp,b3matmp,bo3matmp,wo6matmp,b6matmp,bo6matmp,wo1yatmp,b1yatmp,bof1yatmp
19/08/2004,2.499133,27.120001,0.548393,3.32%,0.13%,0.13%,17/11/2004,15/02/2005,14/08/2005,1.72,1.00,1.79,1.95,0.96,2.88,2.83,0.99,3.01,1.00,1.50,1.79,0.96,1.93,2.88,0.99,2.28,3.01,1.00,1.50,1.79,0.96,1.93,2.88,0.99,2.28,3.01,0.00,1.28,2.01,0.00,0.50,0.79,0.00,0.93,1.88,1.00,2.28,3.01,1.00,1.50,1.79,1.00,1.93,2.88,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00
20/08/2004,2.697639,27.200001,0.55,0.43%,0.06%,0.39%,18/11/2004,16/02/2005,15/08/2005,1.55,1.00,1.80,1.83,0.95,2.93,2.62,1.00,3.10,1.00,1.45,1.80,0.95,1.90,2.93,1.00,2.24,3.10,1.00,1.45,1.80,0.95,1.90,2.93,1.00,2.24,3.10,0.00,1.24,2.10,0.00,0.45,0.80,0.00,0.90,1.93,1.00,2.24,3.10,1.00,1.45,1.80,1.00,1.90,2.93,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00
23/08/2004,2.724787,27.24,0.555,-1.84%,0.00%,1.20%,21/11/2004,19/02/2005,18/08/2005,1.51,0.98,1.97,1.81,0.95,2.90,2.56,0.98,2.98,0.98,1.49,1.97,0.95,1.89,2.90,0.98,2.17,2.98,0.98,1.49,1.97,0.95,1.89,2.90,0.98,2.17,2.98,0.00,1.17,1.98,0.00,0.49,0.97,0.00,0.89,1.90,1.00,2.17,2.98,1.00,1.49,1.97,1.00,1.89,2.90,0.02,0.00,0.00,0.02,0.00,0.00,0.05,0.00,0.00
24/08/2004,2.61196,27.24,0.570536,0.47%,0.49%,1.47%,22/11/2004,20/02/2005,19/08/2005,1.57,0.98,1.92,1.89,0.95,2.82,2.67,0.98,2.87,0.98,1.49,1.92,0.95,1.89,2.82,0.98,2.17,2.87,0.98,1.49,1.92,0.95,1.89,2.82,0.98,2.17,2.87,0.00,1.17,1.87,0.00,0.49,0.92,0.00,0.89,1.82,1.00,2.17,2.87,1.00,1.49,1.92,1.00,1.89,2.82,0.02,0.00,0.00,0.02,0.00,0.00,0.05,0.00,0.00
25/08/2004,2.640104,27.549999,0.590179,0.78%,-0.17%,2.07%,23/11/2004,21/02/2005,20/08/2005,1.58,0.96,1.85,1.81,0.92,2.58,2.64,0.98,2.78,0.96,1.47,1.85,0.92,1.77,2.58,0.98,2.13,2.78,0.96,1.47,1.85,0.92,1.77,2.58,0.98,2.13,2.78,0.00,1.13,1.78,0.00,0.47,0.85,0.00,0.77,1.58,1.00,2.13,2.78,1.00,1.47,1.85,1.00,1.77,2.58,0.02,0.00,0.00,0.04,0.00,0.00,0.08,0.00,0.00
26/08/2004,2.687676,27.440001,0.618929,-0.71%,0.03%,-0.39%,24/11/2004,22/02/2005,21/08/2005,1.62,0.97,1.85,1.77,0.92,2.46,2.54,0.98,2.64,0.97,1.48,1.85,0.92,1.72,2.46,0.98,2.05,2.64,0.97,1.48,1.85,0.92,1.72,2.46,0.98,2.05,2.64,0.00,1.05,1.64,0.00,0.48,0.85,0.00,0.72,1.46,1.00,2.05,2.64,1.00,1.48,1.85,1.00,1.72,2.46,0.02,0.00,0.00,0.03,0.00,0.00,0.08,0.00,0.00
27/08/2004,2.64384,27.459999,0.613393,-1.73%,-0.25%,-0.29%,25/11/2004,23/02/2005,22/08/2005,1.69,0.97,1.88,1.83,0.92,2.57,2.58,0.98,2.67,0.97,1.51,1.88,0.92,1.77,2.57,0.98,2.08,2.67,0.97,1.51,1.88,0.92,1.77,2.57,0.98,2.08,2.67,0.00,1.08,1.67,0.00,0.51,0.88,0.00,0.77,1.57,1.00,2.08,2.67,1.00,1.51,1.88,1.00,1.77,2.57,0.02,0.00,0.00,0.03,0.00,0.00,0.08,0.00,0.00
30/08/2004,2.540727,27.299999,0.609286,0.15%,0.00%,0.47%,28/11/2004,26/02/2005,25/08/2005,1.77,0.98,2.01,1.90,0.92,2.59,2.77,0.99,2.70,0.98,1.59,2.01,0.92,1.80,2.59,0.99,2.15,2.77,0.98,1.59,2.01,0.92,1.80,2.59,0.99,2.15,2.77,0.00,1.15,1.77,0.00,0.59,1.01,0.00,0.80,1.59,1.00,2.15,2.77,1.00,1.59,2.01,1.00,1.80,2.59,0.01,0.00,0.00,0.02,0.00,0.00,0.08,0.00,0.00
31/08/2004,2.549693,27.299999,0.615893,-0.91%,0.14%,1.69%,29/11/2004,27/02/2005,26/08/2005,1.77,0.98,1.98,1.84,0.92,2.60,2.77,0.99,2.65,0.98,1.58,1.98,0.92,1.79,2.60,0.99,2.14,2.77,0.98,1.58,1.98,0.92,1.79,2.60,0.99,2.14,2.77,0.00,1.14,1.77,0.00,0.58,0.98,0.00,0.79,1.60,1.00,2.14,2.77,1.00,1.58,1.98,1.00,1.79,2.60,0.01,0.00,0.00,0.02,0.00,0.00,0.08,0.00,0.00
01/09/2004,2.496891,27.389999,0.640357,0.54%,0.36%,-0.24%,30/11/2004,28/02/2005,27/08/2005,1.82,0.98,1.87,1.88,0.92,2.50,2.83,0.99,2.56,0.98,1.55,1.87,0.92,1.77,2.50,0.99,2.13,2.83,0.98,1.55,1.87,0.92,1.77,2.50,0.99,2.13,2.83,0.00,1.13,1.83,0.00,0.55,0.87,0.00,0.77,1.50,1.00,2.13,2.83,1.00,1.55,1.87,1.00,1.77,2.50,0.01,0.00,0.00,0.02,0.00,0.00,0.08,0.00,0.00
02/09/2004,2.528273,27.620001,0.636786,-0.65%,-0.81%,-0.53%,01/12/2004,01/03/2005,28/08/2005,1.77,0.99,1.90,1.83,0.92,2.50,2.84,0.98,2.61,0.99,1.55,1.90,0.92,1.75,2.50,0.98,2.15,2.84,0.99,1.55,1.90,0.92,1.75,2.50,0.98,2.15,2.84,0.00,1.15,1.84,0.00,0.55,0.90,0.00,0.75,1.50,1.00,2.15,2.84,1.00,1.55,1.90,1.00,1.75,2.50,0.02,0.00,0.00,0.01,0.00,0.00,0.08,0.00,0.00
03/09/2004,2.490913,27.110001,0.629107,0.68%,0.40%,0.65%,02/12/2004,02/03/2005,29/08/2005,1.79,1.00,1.85,1.85,0.93,2.50,2.88,1.00,2.60,1.00,1.55,1.85,0.93,1.76,2.50,1.00,2.16,2.88,1.00,1.55,1.85,0.93,1.76,2.50,1.00,2.16,2.88,0.00,1.16,1.88,0.00,0.55,0.85,0.00,0.76,1.50,1.00,2.16,2.88,1.00,1.55,1.85,1.00,1.76,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00
07/09/2004,2.530017,27.360001,0.638571,0.31%,-0.16%,0.71%,06/12/2004,06/03/2005,02/09/2005,1.74,1.00,1.84,1.86,0.93,2.39,2.84,0.99,2.59,1.00,1.52,1.84,0.93,1.73,2.39,0.99,2.14,2.84,1.00,1.52,1.84,0.93,1.73,2.39,0.99,2.14,2.84,0.00,1.14,1.84,0.00,0.52,0.84,0.00,0.73,1.39,1.00,2.14,2.84,1.00,1.52,1.84,1.00,1.73,2.39,0.01,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00
