Moneyness,Price % European Double KO +5 vol,Delta % European Double KO +5 vol,Vega European Double KO +5 vol
0.6,0.030451037,0.076241062,-0.228551634
0.602,0.030718585,0.07635602,-0.244291265
0.604,0.031009109,0.076504544,-0.260652278
0.606,0.031299228,0.076764553,-0.276904128
0.608,0.031565813,0.076759371,-0.292283267
0.61,0.031832329,0.076787242,-0.307536855
0.612,0.03209842,0.076812748,-0.325221258
0.614,0.032387706,0.076947773,-0.338452197
0.616,0.032654097,0.076933435,-0.35581079
0.618,0.032919991,0.077062176,-0.370536303
0.62,0.033209116,0.077189669,-0.388407852
0.622,0.033451991,0.077204561,-0.404543421
0.624,0.033694594,0.077141252,-0.420527619
0.626,0.033960551,0.077228926,-0.437166601
0.628,0.034295965,0.077237574,-0.453704097
0.63,0.034562098,0.077245063,-0.470037562
0.632,0.034805335,0.077280436,-0.487754418
0.634,0.035048371,0.077255215,-0.502973842
0.636,0.035314923,0.077288668,-0.51888741
0.638,0.035604733,0.077241973,-0.535513419
0.64,0.035871672,0.077136093,-0.551181211
0.642,0.036139342,0.077105923,-0.566690222
0.644,0.036383888,0.076998294,-0.583451031
0.646,0.036628935,0.077022868,-0.600058376
0.648,0.036874258,0.076940992,-0.616509681
0.65,0.037120007,0.076832014,-0.63280677
0.652,0.037389555,0.076722772,-0.647670233
0.654,0.037660079,0.076715401,-0.662400289
0.656,0.037908186,0.076605958,-0.680375416
0.658,0.038156509,0.076520904,-0.696089852
0.66,0.038359308,0.076334477,-0.711985275
0.662,0.038631899,0.076223603,-0.728288431
0.664,0.038905417,0.076012446,-0.744438964
0.666,0.039156543,0.075900989,-0.759585608
0.668,0.039361944,0.075811567,-0.774829738
0.67,0.03963751,0.075699876,-0.790600275
0.672,0.03989022,0.075510509,-0.807313795
0.674,0.040167281,0.075397148,-0.820894474
0.676,0.040375582,0.075089296,-0.837455093
0.678,0.040608,0.074976203,-0.852830632
0.68,0.040817932,0.074902062,-0.867176589
0.682,0.041075031,0.074614927,-0.883175593
0.684,0.04133324,0.074386551,-0.897189987
0.686,0.041546104,0.07417633,-0.912944878
0.688,0.041783078,0.073967854,-0.927635946
0.69,0.042020889,0.073776684,-0.943985257
0.692,0.042236696,0.073584359,-0.957526362
0.694,0.042476708,0.073265689,-0.971823834
0.696,0.042671706,0.072980033,-0.985931817
0.698,0.042913755,0.072770884,-1.001695502
0.7,0.043134004,0.072469177,-1.014738507
0.702,0.043331913,0.072168658,-1.03011579
0.704,0.0435543,0.071777191,-1.044579476
0.706,0.043754428,0.071659063,-1.058007686
0.708,0.043955962,0.071360227,-1.072932759
0.71,0.044204715,0.071061896,-1.086307556
0.712,0.044431938,0.07067441,-1.100252215
0.714,0.044636911,0.07046549,-1.113173655
0.716,0.044843329,0.070080817,-1.127534803
0.718,0.045027687,0.069773381,-1.140849982
0.72,0.045236893,0.069390176,-1.153402176
0.722,0.045424548,0.069094302,-1.166447488
0.724,0.045636926,0.068800355,-1.180269335
0.726,0.045827308,0.068506918,-1.193062479
0.728,0.04604262,0.068127768,-1.205177613
0.73,0.046235991,0.067731136,-1.217722366
0.732,0.04645413,0.067448027,-1.231053066
0.734,0.046650317,0.067070733,-1.243371135
0.736,0.046825302,0.066679103,-1.254672746
0.738,0.047001506,0.066226179,-1.267215731
0.74,0.047202529,0.065921551,-1.280521164
0.742,0.047404863,0.065457748,-1.29105461
0.744,0.047562836,0.065084147,-1.302336524
0.746,0.047768439,0.064704274,-1.313981807
0.748,0.047929463,0.064326655,-1.325041362
0.75,0.048138319,0.063862985,-1.336488655
0.752,0.048279517,0.063490897,-1.347668771
0.754,0.048468532,0.063110416,-1.359250475
0.756,0.048635872,0.062655634,-1.369845918
0.758,0.048851316,0.062121365,-1.380886793
0.76,0.048998905,0.061747355,-1.391567825
0.762,0.04919454,0.061371401,-1.402716265
0.764,0.049345518,0.060922081,-1.410897165
0.766,0.04947534,0.060390683,-1.421496536
0.768,0.049676008,0.060018087,-1.432332541
0.77,0.049832317,0.059567675,-1.441369698
0.772,0.049967255,0.059119029,-1.450519622
0.774,0.050127152,0.058516981,-1.460420274
0.776,0.050265603,0.058146163,-1.46936652
0.778,0.050452186,0.057699481,-1.478883512
0.78,0.050594397,0.05710274,-1.48763438
