Moneyness,Price %,Delta %,Vega
0.6,0.031022834,0.101230598,0.03
0.6,0.031417601,0.101780871,0.01
0.6,0.031787329,0.102106617,-0.01
0.61,0.032132347,0.102473533,-0.04
0.61,0.032498219,0.102829073,-0.06
0.61,0.032885734,0.102965459,-0.09
0.61,0.03327175,0.103302785,-0.11
0.61,0.033610029,0.103628221,-0.13
0.62,0.033993305,0.103783721,-0.15
0.62,0.034375508,0.103931857,-0.18
0.62,0.034732812,0.104229467,-0.2
0.62,0.035112019,0.104516291,-0.23
0.62,0.035490013,0.10463875,-0.25
0.63,0.035843253,0.104754738,-0.28
0.63,0.036195477,0.105101941,-0.3
0.63,0.036569777,0.105203881,-0.33
0.63,0.036919462,0.105338714,-0.35
0.63,0.037291448,0.105465366,-0.38
0.64,0.03766239,0.105395293,-0.4
0.64,0.038032116,0.105508918,-0.42
0.64,0.038401477,0.105615241,-0.45
0.64,0.038769856,0.105751477,-0.48
0.64,0.039114392,0.105729489,-0.5
0.65,0.039481517,0.105966346,-0.52
0.65,0.039824605,0.105901017,-0.55
0.65,0.04019047,0.105830266,-0.57
0.65,0.0405788,0.105755996,-0.6
0.65,0.040897308,0.105676702,-0.62
0.66,0.04126178,0.1056246,-0.65
0.66,0.041625963,0.105537037,-0.67
0.66,0.041967056,0.105474407,-0.7
0.66,0.042330835,0.105522894,-0.72
0.66,0.042648315,0.105453343,-0.75
0.67,0.042988803,0.105351464,-0.77
0.67,0.043329196,0.10510521,-0.79
0.67,0.04369277,0.105023537,-0.82
0.67,0.044032976,0.104772639,-0.85
0.67,0.044350746,0.104518777,-0.87
0.68,0.044691569,0.104451816,-0.89
0.68,0.04503287,0.104219493,-0.92
0.68,0.045351153,0.104145185,-0.94
0.68,0.045693114,0.10388422,-0.96
0.68,0.046012253,0.10348573,-0.99
0.69,0.046331957,0.103243717,-1.01
0.69,0.04667557,0.102978008,-1.04
0.69,0.046996691,0.102847512,-1.06
0.69,0.04734188,0.102469033,-1.08
0.69,0.047641802,0.102089942,-1.1
0.7,0.047942433,0.101822869,-1.13
0.7,0.048290167,0.101441303,-1.15
0.7,0.048592767,0.101057537,-1.17
0.7,0.048896357,0.100919019,-1.19
0.7,0.049200813,0.100405275,-1.22
0.71,0.049529398,0.100005959,-1.24
0.71,0.049812734,0.09947813,-1.26
0.71,0.050120445,0.099206641,-1.28
0.71,0.050406398,0.098819735,-1.3
0.71,0.050716911,0.098421323,-1.32
0.72,0.050982275,0.097783317,-1.34
0.72,0.051295446,0.097385428,-1.37
0.72,0.051563523,0.0968625,-1.39
0.72,0.051856616,0.096464476,-1.4
0.72,0.052151115,0.095944307,-1.43
0.73,0.05244732,0.095425631,-1.45
0.73,0.052721919,0.094914551,-1.46
0.73,0.05297504,0.094395931,-1.48
0.73,0.053253257,0.093870337,-1.5
0.73,0.05355635,0.093348817,-1.52
0.74,0.053815086,0.092708541,-1.54
0.74,0.054075391,0.092076093,-1.56
0.74,0.054337631,0.091558238,-1.58
0.74,0.054601996,0.091049613,-1.59
0.74,0.054845208,0.090417228,-1.61
0.75,0.055090497,0.089786776,-1.63
0.75,0.055360832,0.089158141,-1.65
0.75,0.05561057,0.088530707,-1.66
0.75,0.055862855,0.088022591,-1.68
0.75,0.056117335,0.087286203,-1.7
0.76,0.056350943,0.08655252,-1.71
0.76,0.056586812,0.085933415,-1.73
0.76,0.056825248,0.085204479,-1.74
0.76,0.057065938,0.084476182,-1.76
0.76,0.057262739,0.083752044,-1.77
0.77,0.057508314,0.083030727,-1.79
0.77,0.057709899,0.082418669,-1.8
0.77,0.057914055,0.081702351,-1.82
0.77,0.058120713,0.080873689,-1.83
0.77,0.058399318,0.080166512,-1.85
0.78,0.058588098,0.079565247,-1.86
0.78,0.05875628,0.078749784,-1.87
0.78,0.059019621,0.077830112,-1.89
0.78,0.059216624,0.077239474,-1.9
0.78,0.059416196,0.076431864,-1.91
0.79,0.059595424,0.075644215,-1.92
0.79,0.059800726,0.074840549,-1.93
0.79,0.059962565,0.074049282,-1.95
0.79,0.060173562,0.073250222,-1.96
0.79,0.060341225,0.072463542,-1.97
0.8,0.060558133,0.071690567,-1.98
0.8,0.060708645,0.070794796,-1.99
0.8,0.06088524,0.070027343,-2
0.8,0.061065226,0.069047301,-2.01
0.8,0.061248439,0.068398928,-2.02
0.81,0.061411533,0.067539714,-2.03
0.81,0.061577656,0.066569091,-2.04
0.81,0.061747015,0.065927486,-2.04
0.81,0.061873196,0.064978456,-2.05
0.81,0.062094764,0.064128961,-2.06
0.82,0.062227213,0.063280994,-2.07
0.82,0.062362808,0.062435301,-2.08
0.82,0.062524571,0.061418065,-2.08
0.82,0.062666622,0.06059455,-2.09
0.82,0.06283507,0.059773474,-2.1
0.83,0.062960354,0.05876599,-2.1
0.83,0.063065947,0.057968705,-2.11
0.83,0.063197925,0.057081572,-2.12
0.83,0.063379428,0.056061159,-2.12
0.83,0.063494939,0.055247705,-2.13
0.84,0.063613749,0.054367319,-2.13
0.84,0.063712775,0.05339824,-2.14
0.84,0.063861462,0.05252118,-2.14
0.84,0.063944073,0.051646563,-2.14
0.84,0.064053331,0.050683854,-2.15
0.85,0.064188959,0.049836564,-2.15
0.85,0.064305079,0.048789869,-2.16
0.85,0.064401917,0.047859294,-2.16
0.85,0.064455688,0.047104315,-2.16
0.85,0.064605443,0.04606286,-2.16
0.86,0.06471239,0.045079118,-2.17
0.86,0.06477632,0.044241417,-2.17
0.86,0.064913134,0.043263507,-2.17
0.86,0.064984061,0.042258263,-2.17
0.86,0.065058359,0.041284191,-2.18
0.87,0.065159021,0.040311755,-2.18
0.87,0.065216869,0.039423724,-2.18
0.87,0.065301391,0.038454862,-2.18
0.87,0.065343058,0.037486754,-2.18
0.87,0.065457522,0.03663404,-2.18
0.88,0.065506211,0.035668361,-2.18
0.88,0.065581425,0.034656248,-2.18
0.88,0.065636981,0.033772594,-2.18
0.88,0.065695995,0.032729616,-2.18
0.88,0.065781613,0.031836518,-2.18
0.89,0.065801377,0.030867263,-2.18
0.89,0.065870698,0.029826795,-2.17
0.89,0.065943666,0.029014781,-2.17
0.89,0.065950664,0.028049027,-2.17
0.89,0.0660308,0.027084292,-2.17
0.9,0.066068236,0.026121043,-2.17
0.9,0.066109085,0.025119292,-2.17
0.9,0.066153417,0.024270778,-2.16
0.9,0.066177948,0.023160091,-2.16
0.9,0.066206006,0.022272144,-2.16
0.91,0.066260472,0.021351117,-2.15
0.91,0.066295161,0.020357691,-2.15
0.91,0.066333268,0.019437877,-2.15
0.91,0.066351695,0.018445946,-2.14
0.91,0.066327223,0.017568771,-2.14
0.92,0.066398605,0.016577834,-2.14
0.92,0.06638093,0.015657043,-2.13
0.92,0.066435967,0.014709776,-2.13
0.92,0.066424983,0.013762741,-2.12
0.92,0.066440384,0.012816201,-2.12
0.93,0.066436166,0.011869429,-2.11
0.93,0.066435102,0.010922445,-2.11
0.93,0.066460565,0.009974809,-2.1
0.93,0.066419883,0.009073536,-2.09
0.93,0.06645199,0.008058748,-2.09
0.94,0.066440962,0.007175349,-2.08
0.94,0.066433346,0.006142159,-2.08
0.94,0.066382824,0.005239532,-2.07
0.94,0.066404844,0.004270465,-2.06
0.94,0.066360717,0.003350887,-2.06
0.95,0.066389204,0.002444473,-2.05
0.95,0.066351526,0.001512202,-2.04
0.95,0.066363165,0.000603679,-2.04
0.95,0.066308692,-0.000317177,-2.03
0.95,0.066326722,-0.001291269,-2.02
0.96,0.066278463,-0.002161024,-2.01
0.96,0.066256414,-0.003024215,-2.01
0.96,0.066191314,-0.00395582,-2
0.96,0.066175443,-0.004882283,-1.99
0.96,0.066162603,-0.005755272,-1.98
0.97,0.066152738,-0.006744091,-1.97
0.97,0.066076547,-0.007563992,-1.96
0.97,0.066049534,-0.008499193,-1.96
0.97,0.065979314,-0.009320767,-1.95
0.97,0.065958363,-0.010258011,-1.94
0.98,0.065917122,-0.011139625,-1.93
0.98,0.065855767,-0.012080261,-1.92
0.98,0.065843619,-0.012963818,-1.91
0.98,0.065764905,-0.01379008,-1.9
0.98,0.065735577,-0.01468029,-1.89
0.99,0.065663055,-0.015508867,-1.88
0.99,0.065593307,-0.01639827,-1.87
0.99,0.065549488,-0.017289659,-1.86
0.99,0.065508553,-0.018122129,-1.85
0.99,0.065447205,-0.018955825,-1.84
1,0.065365483,-0.019791479,-1.83
1,0.065309698,-0.020742403,-1.82
1,0.065210283,-0.021530085,-1.81
1,0.065136555,-0.022484967,-1.8
1,0.065065401,-0.023264964,-1.79
1.01,0.064997042,-0.024160279,-1.78
1.01,0.064954262,-0.024943911,-1.77
1.01,0.064844876,-0.025779119,-1.76
1.01,0.064784258,-0.026567182,-1.75
1.01,0.0646799,-0.027471867,-1.74
1.02,0.064624466,-0.028265069,-1.72
1.02,0.064525238,-0.029088376,-1.71
1.02,0.064428465,-0.029953466,-1.7
1.02,0.064357396,-0.030665075,-1.69
1.02,0.064288731,-0.031468558,-1.68
1.03,0.064176203,-0.032365745,-1.67
1.03,0.064112492,-0.033037145,-1.66
1.03,0.064027829,-0.033893957,-1.64
1.03,0.063899684,-0.034639648,-1.63
1.03,0.063843384,-0.035476263,-1.62
1.04,0.063719917,-0.036227875,-1.61
1.04,0.063668245,-0.036997271,-1.6
1.04,0.063526332,-0.037755033,-1.58
1.04,0.063455927,-0.038486089,-1.57
1.04,0.063341494,-0.039219722,-1.56
1.05,0.063275535,-0.039996777,-1.55
1.05,0.063165366,-0.040807984,-1.53
1.05,0.063057584,-0.041475651,-1.52
1.05,0.062974905,-0.042293461,-1.51
1.05,0.062824984,-0.04300509,-1.5
1.06,0.062746675,-0.043715792,-1.48
1.06,0.062623998,-0.044432003,-1.47
1.06,0.062503308,-0.045111505,-1.46
1.06,0.062384595,-0.04590831,-1.44
1.06,0.062314127,-0.046593432,-1.43
1.07,0.062176212,-0.047318383,-1.42
1.07,0.062040326,-0.047972829,-1.4
1.07,0.06192945,-0.048739342,-1.39
1.07,0.061797397,-0.049393745,-1.38
1.07,0.061690286,-0.050173138,-1.36
1.08,0.06156202,-0.050797757,-1.35
1.08,0.061435526,-0.051425322,-1.34
1.08,0.061333915,-0.05212386,-1.32
1.08,0.061211165,-0.052837181,-1.31
1.08,0.061090299,-0.053506249,-1.3
1.09,0.060948221,-0.054226144,-1.28
1.09,0.060830912,-0.05490048,-1.27
1.09,0.060692239,-0.055627411,-1.26
1.09,0.060578395,-0.056142961,-1.24
1.09,0.060466066,-0.056877388,-1.23
1.1,0.060309261,-0.057563494,-1.22
1.1,0.060223232,-0.058084947,-1.2
1.1,0.060092639,-0.058776802,-1.19
1.1,0.059940389,-0.059357349,-1.18
1.1,0.059812911,-0.060055143,-1.16
1.11,0.05968698,-0.060557231,-1.15
1.11,0.05956241,-0.061261805,-1.13
1.11,0.059416346,-0.061883322,-1.12
1.11,0.059294763,-0.06239409,-1.11
1.11,0.059128469,-0.062935052,-1.09
1.12,0.058986509,-0.063652838,-1.08
1.12,0.058822701,-0.064286357,-1.06
1.12,0.058660371,-0.064721123,-1.05
1.12,0.058545551,-0.06538639,-1.04
1.12,0.058385891,-0.065914923,-1.02
1.13,0.058296773,-0.066471203,-1.01
1.13,0.058116615,-0.0670063,-0.99
1.13,0.057983845,-0.067592507,-0.98
1.13,0.057806155,-0.06815746,-0.97
1.13,0.057675809,-0.068725197,-0.95
1.14,0.057523585,-0.069182258,-0.94
1.14,0.057372602,-0.069756227,-0.92
1.14,0.057245992,-0.070332877,-0.91
1.14,0.057097566,-0.070890938,-0.9
1.14,0.056973386,-0.07138081,-0.88
1.15,0.056757785,-0.071966134,-0.87
1.15,0.05663584,-0.072554542,-0.85
1.15,0.056514887,-0.073031888,-0.84
1.15,0.056348744,-0.073532539,-0.83
1.15,0.056206676,-0.073940884,-0.81
1.16,0.056019411,-0.074446275,-0.8
1.16,0.055879404,-0.075031202,-0.78
1.16,0.055740292,-0.075446569,-0.77
1.16,0.055555892,-0.075960555,-0.76
1.16,0.05544168,-0.076380699,-0.74
1.17,0.055282191,-0.076882617,-0.73
1.17,0.055169714,-0.077404851,-0.71
1.17,0.054965635,-0.077832071,-0.7
1.17,0.054831627,-0.078246321,-0.68
1.17,0.054652053,-0.078678617,-0.67
1.18,0.054496401,-0.079197587,-0.66
1.18,0.054295314,-0.079649465,-0.64
1.18,0.054164442,-0.079975599,-0.63
1.18,0.054034199,-0.080517989,-0.61
1.18,0.053858502,-0.080848878,-0.6
1.19,0.053706527,-0.081295853,-0.59
1.19,0.053532193,-0.081732553,-0.57
1.19,0.053358525,-0.082083551,-0.56
1.19,0.053208718,-0.082538599,-0.55
1.19,0.053059408,-0.082996145,-0.53
1.2,0.052887662,-0.083444762,-0.52
1.2,0.052716431,-0.083814998,-0.5
1.2,0.052568955,-0.084155366,-0.49
1.2,0.052398945,-0.08451944,-0.48
1.2,0.052252643,-0.084875142,-0.46
1.21,0.052060733,-0.085242906,-0.45
1.21,0.051915749,-0.085708185,-0.44
1.21,0.051748096,-0.085966318,-0.42
1.21,0.051580893,-0.086340609,-0.41
1.21,0.051414235,-0.086701081,-0.4
1.22,0.051248002,-0.08707963,-0.38
1.22,0.051082256,-0.087452901,-0.37
1.22,0.050916854,-0.087835384,-0.36
1.22,0.050774981,-0.088105535,-0.34
1.22,0.05058724,-0.088593646,-0.33
1.23,0.050446052,-0.088868064,-0.31
1.23,0.05025909,-0.089144363,-0.3
1.23,0.050072253,-0.089531658,-0.29
1.23,0.049885745,-0.089921242,-0.27
1.23,0.049722665,-0.090094423,-0.26
1.24,0.049582937,-0.090382881,-0.25
1.24,0.049420445,-0.090779635,-0.23
1.24,0.049258075,-0.09106788,-0.22
1.24,0.049072959,-0.091357984,-0.21
1.24,0.04891112,-0.091650186,-0.2
1.25,0.048726464,-0.091830384,-0.18
1.25,0.04856515,-0.092127462,-0.17
1.25,0.04840393,-0.09242605,-0.16
1.25,0.048243024,-0.092726612,-0.14
1.25,0.048058949,-0.092915763,-0.13
1.26,0.047921399,-0.093219755,-0.12
1.26,0.047737677,-0.093639725,-0.1
1.26,0.047554101,-0.093718704,-0.09
1.26,0.047393851,-0.094029249,-0.08
1.26,0.04723367,-0.094224807,-0.07
1.27,0.047073532,-0.094423448,-0.06
1.27,0.046867327,-0.094738099,-0.04
1.27,0.046707218,-0.094940155,-0.03
1.27,0.046570407,-0.095141437,-0.02
1.27,0.046410473,-0.095463638,-0.01
1.28,0.046250495,-0.095550826,0.01
1.28,0.046044388,-0.095881035,0.02
1.28,0.045884519,-0.096088286,0.03
1.28,0.045701514,-0.096300549,0.04
1.28,0.045541681,-0.096514693,0.06
1.29,0.045405064,-0.09673005,0.07
1.29,0.045222206,-0.096941687,0.08
1.29,0.045016131,-0.097040339,0.1
1.29,0.044832829,-0.097260351,0.1
1.29,0.044695859,-0.097361611,0.12
1.3,0.044512514,-0.097577712,0.13
1.3,0.044352149,-0.09780845,0.14
1.3,0.044145506,-0.097905164,0.15
1.3,0.044008186,-0.098139134,0.16
1.3,0.043847448,-0.098358774,0.18
1.31,0.043709867,-0.098482239,0.19
1.31,0.043502603,-0.098581532,0.2
1.31,0.043364585,-0.0986995,0.21
1.31,0.043180139,-0.098923374,0.22
1.31,0.043018678,-0.099167269,0.23
1.32,0.042856858,-0.099278681,0.25
1.32,0.042718135,-0.099266349,0.26
1.32,0.042509727,-0.099503245,0.27
1.32,0.042347385,-0.099627481,0.28
1.32,0.04216173,-0.099867025,0.29
