Moneyness,Price % European Double KO,Delta % European Double KO,Vega European Double KO
0.6,0.031022834,0.058310308,0.030511392
0.602,0.031417601,0.058424919,0.010065299
0.604,0.031787329,0.058392599,-0.014428351
0.606,0.032132347,0.058389878,-0.037840076
0.608,0.032498219,0.058356382,-0.061910576
0.61,0.032885734,0.058351918,-0.08659062
0.612,0.03327175,0.05843193,-0.106293511
0.614,0.033610029,0.058426515,-0.133608778
0.616,0.033993305,0.058337657,-0.152929268
0.618,0.034375508,0.058414008,-0.176702813
0.62,0.034732812,0.05832509,-0.203990709
0.622,0.035112019,0.058400824,-0.227294909
0.624,0.035490013,0.058312983,-0.250406322
0.626,0.035843253,0.058279517,-0.276887826
0.628,0.036195477,0.058191358,-0.303048179
0.63,0.036569777,0.058182934,-0.325428485
0.632,0.036919462,0.058198922,-0.351057419
0.634,0.037291448,0.058135593,-0.377334689
0.636,0.03766239,0.058021703,-0.403317038
0.638,0.038032116,0.057956847,-0.424737432
0.64,0.038401477,0.057945902,-0.44586941
0.642,0.038769856,0.057753763,-0.47518855
0.644,0.039114392,0.057764969,-0.499000547
0.646,0.039481517,0.057596293,-0.523522538
0.648,0.039824605,0.057505354,-0.550853244
0.65,0.04019047,0.057414344,-0.5747953
0.652,0.0405788,0.057377567,-0.599504491
0.654,0.040897308,0.057308544,-0.624849135
0.656,0.04126178,0.057120212,-0.647973538
0.658,0.041625963,0.057049671,-0.670777516
0.66,0.041967056,0.056882842,-0.696129905
0.662,0.042330835,0.056846045,-0.722208437
0.664,0.042648315,0.05670003,-0.745860245
0.666,0.042988803,0.056534232,-0.770244833
0.668,0.043329196,0.056423244,-0.79431712
0.67,0.04369277,0.056276408,-0.81913968
0.672,0.044032976,0.056184625,-0.846245276
0.674,0.044350746,0.056019718,-0.868219554
0.676,0.044691569,0.055837107,-0.894554777
0.678,0.04503287,0.055727201,-0.916991562
0.68,0.045351153,0.055580278,-0.941574302
0.682,0.045693114,0.055416087,-0.963419239
0.684,0.046012253,0.055252229,-0.987349285
0.686,0.046331957,0.055033245,-1.010941683
0.688,0.04667557,0.054923908,-1.035238394
0.69,0.046996691,0.054776588,-1.05812281
0.692,0.04734188,0.054597242,-1.081786004
0.694,0.047641802,0.054363695,-1.102949422
0.696,0.047942433,0.054185084,-1.127052119
0.698,0.048290167,0.054007843,-1.14978765
0.7,0.048592767,0.05379052,-1.16999262
0.702,0.048896357,0.053545701,-1.193036245
0.704,0.049200813,0.053383871,-1.215730798
0.706,0.049529398,0.053208654,-1.239187577
0.708,0.049812734,0.052966492,-1.260128601
0.71,0.050120445,0.052737312,-1.281845491
0.712,0.050406398,0.052507925,-1.302104746
0.714,0.050716911,0.052334525,-1.323155872
0.716,0.050982275,0.052105924,-1.344615978
0.718,0.051295446,0.051855026,-1.365058739
0.72,0.051563523,0.051637683,-1.385862857
0.722,0.051856616,0.05146471,-1.40459553
0.724,0.052151115,0.051161077,-1.42581385
0.726,0.05244732,0.050923123,-1.446714044
0.728,0.052721919,0.050685674,-1.46351872
0.73,0.05297504,0.050458371,-1.484329214
0.732,0.053253257,0.050221966,-1.503204608
0.734,0.05355635,0.049985226,-1.520269695
0.736,0.053815086,0.049685074,-1.540090934
0.738,0.054075391,0.049458126,-1.559576917
0.74,0.054337631,0.049159577,-1.576241816
0.742,0.054601996,0.048853766,-1.592615922
0.744,0.054845208,0.048688812,-1.612551845
0.746,0.055090497,0.048392038,-1.629734941
0.748,0.055360832,0.048081409,-1.647695851
0.75,0.05561057,0.047792175,-1.664295574
0.752,0.055862855,0.047557842,-1.680620594
0.754,0.056117335,0.047256638,-1.696690127
0.756,0.056350943,0.046961707,-1.713708375
0.758,0.056586812,0.046666809,-1.728196637
0.76,0.056825248,0.046367673,-1.742438187
0.762,0.057065938,0.04606887,-1.758606422
0.764,0.057262739,0.04577532,-1.774559906
0.766,0.057508314,0.045536609,-1.790167793
0.768,0.057709899,0.045188574,-1.803474209
0.77,0.057914055,0.044887286,-1.818573824
0.772,0.058120713,0.044590528,-1.833386365
0.774,0.058399318,0.044235882,-1.846976804
0.776,0.058588098,0.043885136,-1.860244199
0.778,0.05875628,0.043589382,-1.872262516
0.78,0.059019621,0.043293912,-1.88611599
0.782,0.059216624,0.042941997,-1.898624276
0.784,0.059416196,0.042646923,-1.910892951
