Moneyness,European UP&OUT Price % Rebate = 5%,European UP&OUT Delta % Rebate = 5%,European UP&OUT Vega Rebate = 5%
0.600000,0.003900,0.138147,0.544509
0.602000,0.004000,0.141216,0.552185
0.604000,0.004100,0.143622,0.556592
0.606000,0.004200,0.146102,0.561173
0.608000,0.004300,0.148636,0.565833
0.610000,0.004400,0.151239,0.570625
0.612000,0.004500,0.154614,0.578661
0.614000,0.004600,0.156643,0.580524
0.616000,0.004700,0.160146,0.588698
0.618000,0.004800,0.163024,0.593929
0.620000,0.004900,0.165269,0.596265
0.622000,0.005000,0.168273,0.601688
0.624000,0.005200,0.171337,0.607151
0.626000,0.005300,0.173776,0.609804
0.628000,0.005400,0.176285,0.612587
0.630000,0.005500,0.179536,0.618256
0.632000,0.005600,0.182166,0.621184
0.634000,0.005700,0.184863,0.624212
0.636000,0.005800,0.187625,0.627326
0.638000,0.006000,0.191110,0.633145
0.640000,0.006100,0.194666,0.639029
0.642000,0.006200,0.196964,0.639775
0.644000,0.006300,0.199981,0.643161
0.646000,0.006500,0.203061,0.646592
0.648000,0.006600,0.205549,0.647590
0.650000,0.006700,0.208747,0.651103
0.652000,0.006800,0.212000,0.654622
0.654000,0.007000,0.214672,0.655787
0.656000,0.007100,0.218041,0.659334
0.658000,0.007200,0.221473,0.662929
0.660000,0.007400,0.224337,0.664264
0.662000,0.007500,0.227257,0.665632
0.664000,0.007600,0.230237,0.667027
0.666000,0.007800,0.233273,0.668440
0.668000,0.007900,0.236364,0.669863
0.670000,0.008100,0.239512,0.671289
0.672000,0.008200,0.242102,0.670641
0.674000,0.008400,0.245374,0.672138
0.676000,0.008500,0.248091,0.671609
0.678000,0.008600,0.251468,0.673079
0.680000,0.008800,0.254295,0.672570
0.682000,0.009000,0.257775,0.673985
0.684000,0.009100,0.260710,0.673462
0.686000,0.009300,0.263698,0.672938
0.688000,0.009400,0.266750,0.672455
0.690000,0.009600,0.269853,0.671952
0.692000,0.009700,0.273008,0.671423
0.694000,0.009900,0.276216,0.670860
0.696000,0.010000,0.278894,0.668536
0.698000,0.010200,0.282198,0.667899
0.700000,0.010400,0.285556,0.667244
0.702000,0.010500,0.288394,0.664908
0.704000,0.010700,0.291282,0.662554
0.706000,0.010900,0.294219,0.660175
0.708000,0.011000,0.297199,0.657752
0.710000,0.011200,0.300227,0.655292
0.712000,0.011400,0.303309,0.652825
0.714000,0.011500,0.306436,0.650306
0.716000,0.011700,0.309057,0.646280
0.718000,0.011900,0.312269,0.643647
0.720000,0.012000,0.314977,0.639543
0.722000,0.012200,0.318278,0.636799
0.724000,0.012400,0.321081,0.632640
0.726000,0.012600,0.323928,0.628430
0.728000,0.012800,0.327343,0.625448
0.730000,0.012900,0.329738,0.619829
0.732000,0.013100,0.332709,0.615458
0.734000,0.013300,0.336240,0.612231
0.736000,0.013500,0.338764,0.606495
0.738000,0.013700,0.341327,0.600718
0.740000,0.013900,0.344442,0.596032
0.742000,0.014100,0.347599,0.591280
0.744000,0.014200,0.349770,0.584233
0.746000,0.014400,0.352487,0.578231
0.748000,0.014600,0.355236,0.572155
0.750000,0.014800,0.358025,0.566020
0.752000,0.015000,0.360851,0.559807
0.754000,0.015200,0.363706,0.553499
0.756000,0.015400,0.366098,0.546132
0.758000,0.015600,0.369015,0.539657
0.760000,0.015800,0.371964,0.533090
0.762000,0.016000,0.374453,0.525515
0.764000,0.016200,0.376490,0.516992
0.766000,0.016400,0.379037,0.509273
0.768000,0.016600,0.381610,0.501468
0.770000,0.016700,0.383734,0.492757
0.772000,0.016900,0.385886,0.483987
0.774000,0.017200,0.389008,0.476708
0.776000,0.017400,0.391218,0.467797
0.778000,0.017500,0.393453,0.458812
0.780000,0.017800,0.396172,0.450456
0.782000,0.018000,0.398460,0.441315
0.784000,0.018200,0.400768,0.432089
0.786000,0.018400,0.403096,0.422769
0.788000,0.018600,0.405448,0.413363
0.790000,0.018800,0.407373,0.403264
0.792000,0.019000,0.409766,0.393685
0.794000,0.019200,0.411731,0.383425
0.796000,0.019400,0.414162,0.373669
0.798000,0.019600,0.416170,0.363259
0.800000,0.019800,0.418194,0.352765
0.802000,0.020000,0.420672,0.342690
0.804000,0.020200,0.422305,0.331534
0.806000,0.020500,0.424381,0.320777
0.808000,0.020700,0.426473,0.309936
0.810000,0.020900,0.428581,0.299002
0.812000,0.021100,0.429858,0.287139
0.814000,0.021300,0.432406,0.276427
0.816000,0.021500,0.434134,0.264829
0.818000,0.021700,0.435872,0.253149
0.820000,0.022000,0.438031,0.241735
0.822000,0.022200,0.439385,0.229560
0.824000,0.022400,0.441157,0.217639
0.826000,0.022600,0.442936,0.205630
0.828000,0.022800,0.444326,0.193262
0.830000,0.023000,0.445725,0.180826
0.832000,0.023200,0.447925,0.168826
0.834000,0.023500,0.449340,0.156239
0.836000,0.023700,0.450762,0.143576
0.838000,0.023900,0.452191,0.130848
0.840000,0.024100,0.453628,0.118051
0.842000,0.024300,0.454684,0.105000
0.844000,0.024500,0.456132,0.092065
0.846000,0.024700,0.457582,0.079053
0.848000,0.025000,0.459032,0.065948
0.850000,0.025200,0.460115,0.052653
0.852000,0.025400,0.461199,0.039299
0.854000,0.025600,0.462656,0.025971
0.856000,0.025800,0.463746,0.012490
0.858000,0.026000,0.464470,-0.001114
0.860000,0.026300,0.465925,-0.014660
0.862000,0.026500,0.467016,-0.028328
0.864000,0.026700,0.467744,-0.042083
0.866000,0.026900,0.468827,-0.055877
0.868000,0.027100,0.469551,-0.069734
0.870000,0.027300,0.470628,-0.083654
0.872000,0.027500,0.471003,-0.097569
0.874000,0.027800,0.472071,-0.111604
0.876000,0.028000,0.472792,-0.125642
0.878000,0.028200,0.473507,-0.139732
0.880000,0.028400,0.474220,-0.153864
0.882000,0.028600,0.474927,-0.168045
0.884000,0.028900,0.475628,-0.182277
0.886000,0.029100,0.475991,-0.196430
0.888000,0.029300,0.476679,-0.210748
0.890000,0.029500,0.477362,-0.225111
0.892000,0.029700,0.477383,-0.239212
0.894000,0.029900,0.478374,-0.253833
0.896000,0.030100,0.478387,-0.267983
0.898000,0.030400,0.479034,-0.282529
0.900000,0.030600,0.479039,-0.296712
0.902000,0.030800,0.479350,-0.311120
0.904000,0.031000,0.479656,-0.325554
0.906000,0.031200,0.479949,-0.340021
0.908000,0.031400,0.480233,-0.354512
0.910000,0.031600,0.480200,-0.368776
0.912000,0.031900,0.480462,-0.383317
0.914000,0.032000,0.480110,-0.397326
0.916000,0.032300,0.480648,-0.412193
0.918000,0.032500,0.480280,-0.426207
0.920000,0.032700,0.480492,-0.440832
0.922000,0.032900,0.480400,-0.455159
0.924000,0.033100,0.480003,-0.469166
0.926000,0.033300,0.479889,-0.483499
0.928000,0.033500,0.479760,-0.497839
0.930000,0.033700,0.479618,-0.512184
0.932000,0.033900,0.479181,-0.526167
0.934000,0.034100,0.479013,-0.540514
0.936000,0.034300,0.478552,-0.554477
0.938000,0.034500,0.478077,-0.568433
0.940000,0.034700,0.477588,-0.582381
0.942000,0.034900,0.477356,-0.596728
0.944000,0.035100,0.476571,-0.610228
0.946000,0.035300,0.476309,-0.624560
0.948000,0.035500,0.475500,-0.638011
0.950000,0.035800,0.475204,-0.652323
0.952000,0.035900,0.474371,-0.665719
0.954000,0.036200,0.474040,-0.680012
0.956000,0.036300,0.473179,-0.693351
0.958000,0.036500,0.472558,-0.707135
0.960000,0.036700,0.471671,-0.720408
0.962000,0.036900,0.471018,-0.734139
0.964000,0.037100,0.470101,-0.747340
0.966000,0.037300,0.469415,-0.761016
0.968000,0.037500,0.468225,-0.773622
0.970000,0.037700,0.467506,-0.787228
0.972000,0.037900,0.466290,-0.799734
0.974000,0.038100,0.465536,-0.813270
0.976000,0.038300,0.464528,-0.826223
0.978000,0.038500,0.463504,-0.839131
0.980000,0.038700,0.462463,-0.851993
0.982000,0.038900,0.461406,-0.864805
0.984000,0.039100,0.460332,-0.877575
0.986000,0.039200,0.459240,-0.890299
0.988000,0.039400,0.457685,-0.901786
0.990000,0.039600,0.456783,-0.914992
0.992000,0.039800,0.455421,-0.926947
0.994000,0.040000,0.454262,-0.939447
0.996000,0.040200,0.452869,-0.951271
0.998000,0.040300,0.451462,-0.963029
1.000000,0.040500,0.450038,-0.974715
1.002000,0.040700,0.448597,-0.986328
1.004000,0.040900,0.447138,-0.997869
1.006000,0.041000,0.445666,-1.009337
1.008000,0.041200,0.444378,-1.021383
1.010000,0.041400,0.442871,-1.032707
1.012000,0.041600,0.441347,-1.043953
1.014000,0.041700,0.439611,-1.054450
1.016000,0.041900,0.438250,-1.066212
1.018000,0.042100,0.436485,-1.076540
1.020000,0.042300,0.434897,-1.087463
1.022000,0.042400,0.433291,-1.098304
1.024000,0.042600,0.431670,-1.109062
1.026000,0.042800,0.429845,-1.119032
