Moneyness,American UP&OUT Price % Rebate = 5%,American UP&OUT Delta % Rebate = 5%,American UP&OUT Vega Rebate = 5%
0.6000,0.0032,0.1104,0.4200
0.6020,0.0033,0.1123,0.4300
0.6040,0.0033,0.1143,0.4300
0.6060,0.0034,0.1163,0.4400
0.6080,0.0035,0.1183,0.4400
0.6100,0.0036,0.1203,0.4400
0.6120,0.0036,0.1224,0.4500
0.6140,0.0037,0.1245,0.4500
0.6160,0.0038,0.1265,0.4500
0.6180,0.0039,0.1286,0.4600
0.6200,0.0040,0.1307,0.4600
0.6220,0.0041,0.1327,0.4600
0.6240,0.0041,0.1348,0.4700
0.6260,0.0042,0.1369,0.4700
0.6280,0.0043,0.1390,0.4700
0.6300,0.0044,0.1412,0.4700
0.6320,0.0045,0.1433,0.4800
0.6340,0.0046,0.1455,0.4800
0.6360,0.0047,0.1476,0.4800
0.6380,0.0048,0.1498,0.4800
0.6400,0.0048,0.1519,0.4900
0.6420,0.0049,0.1541,0.4900
0.6440,0.0050,0.1563,0.4900
0.6460,0.0051,0.1584,0.4900
0.6480,0.0052,0.1606,0.4900
0.6500,0.0053,0.1628,0.4900
0.6520,0.0054,0.1650,0.5000
0.6540,0.0055,0.1672,0.5000
0.6560,0.0056,0.1694,0.5000
0.6580,0.0057,0.1716,0.5000
0.6600,0.0058,0.1738,0.5000
0.6620,0.0059,0.1760,0.5000
0.6640,0.0060,0.1782,0.5000
0.6660,0.0061,0.1804,0.5000
0.6680,0.0063,0.1826,0.5000
0.6700,0.0064,0.1848,0.5000
0.6720,0.0065,0.1870,0.5000
0.6740,0.0066,0.1892,0.5000
0.6760,0.0067,0.1914,0.5000
0.6780,0.0068,0.1936,0.5000
0.6800,0.0069,0.1958,0.5000
0.6820,0.0070,0.1980,0.5000
0.6840,0.0071,0.2001,0.5000
0.6860,0.0073,0.2023,0.5000
0.6880,0.0074,0.2045,0.5000
0.6900,0.0075,0.2067,0.5000
0.6920,0.0076,0.2088,0.5000
0.6940,0.0077,0.2110,0.5000
0.6960,0.0078,0.2132,0.5000
0.6980,0.0080,0.2153,0.5000
0.7000,0.0081,0.2175,0.4900
0.7020,0.0082,0.2196,0.4900
0.7040,0.0083,0.2217,0.4900
0.7060,0.0085,0.2239,0.4900
0.7080,0.0086,0.2260,0.4900
0.7100,0.0087,0.2281,0.4800
0.7120,0.0088,0.2302,0.4800
0.7140,0.0090,0.2322,0.4800
0.7160,0.0091,0.2343,0.4800
0.7180,0.0092,0.2364,0.4700
0.7200,0.0093,0.2384,0.4700
0.7220,0.0095,0.2405,0.4700
0.7240,0.0096,0.2425,0.4600
0.7260,0.0097,0.2445,0.4600
0.7280,0.0099,0.2465,0.4600
0.7300,0.0100,0.2485,0.4500
0.7320,0.0101,0.2505,0.4500
0.7340,0.0103,0.2524,0.4500
0.7360,0.0104,0.2544,0.4400
0.7380,0.0105,0.2563,0.4400
0.7400,0.0107,0.2582,0.4400
0.7420,0.0108,0.2601,0.4300
0.7440,0.0109,0.2620,0.4300
0.7460,0.0111,0.2639,0.4200
0.7480,0.0112,0.2657,0.4200
0.7500,0.0114,0.2675,0.4100
0.7520,0.0115,0.2694,0.4100
0.7540,0.0116,0.2712,0.4000
0.7560,0.0118,0.2729,0.4000
0.7580,0.0119,0.2747,0.3900
0.7600,0.0121,0.2764,0.3900
0.7620,0.0122,0.2782,0.3800
0.7640,0.0124,0.2799,0.3800
0.7660,0.0125,0.2816,0.3700
0.7680,0.0126,0.2832,0.3700
0.7700,0.0128,0.2849,0.3600
0.7720,0.0129,0.2865,0.3500
0.7740,0.0131,0.2881,0.3500
0.7760,0.0132,0.2897,0.3400
0.7780,0.0134,0.2913,0.3300
0.7800,0.0135,0.2929,0.3300
0.7820,0.0137,0.2944,0.3200
0.7840,0.0138,0.2959,0.3200
0.7860,0.0140,0.2974,0.3100
0.7880,0.0141,0.2989,0.3000
0.7900,0.0143,0.3003,0.3000
0.7920,0.0144,0.3017,0.2900
0.7940,0.0146,0.3031,0.2800
0.7960,0.0147,0.3045,0.2700
0.7980,0.0149,0.3059,0.2700
0.8000,0.0150,0.3072,0.2600
0.8020,0.0152,0.3085,0.2500
0.8040,0.0153,0.3098,0.2500
0.8060,0.0155,0.3111,0.2400
0.8080,0.0156,0.3123,0.2300
0.8100,0.0158,0.3135,0.2200
0.8120,0.0159,0.3147,0.2200
0.8140,0.0161,0.3158,0.2100
0.8160,0.0163,0.3170,0.2000
0.8180,0.0164,0.3181,0.1900
0.8200,0.0166,0.3192,0.1800
0.8220,0.0167,0.3202,0.1800
0.8240,0.0169,0.3213,0.1700
0.8260,0.0170,0.3223,0.1600
0.8280,0.0172,0.3233,0.1500
0.8300,0.0173,0.3242,0.1400
0.8320,0.0175,0.3251,0.1400
0.8340,0.0177,0.3260,0.1300
0.8360,0.0178,0.3269,0.1200
0.8380,0.0180,0.3278,0.1100
0.8400,0.0181,0.3286,0.1000
0.8420,0.0183,0.3294,0.0900
0.8440,0.0184,0.3301,0.0900
0.8460,0.0186,0.3309,0.0800
0.8480,0.0188,0.3316,0.0700
0.8500,0.0189,0.3323,0.0600
0.8520,0.0191,0.3330,0.0500
0.8540,0.0192,0.3336,0.0400
0.8560,0.0194,0.3342,0.0400
0.8580,0.0195,0.3348,0.0300
0.8600,0.0197,0.3353,0.0200
0.8620,0.0199,0.3358,0.0100
0.8640,0.0200,0.3363,0.0000
0.8660,0.0202,0.3368,-0.0100
0.8680,0.0203,0.3373,-0.0200
0.8700,0.0205,0.3377,-0.0300
0.8720,0.0207,0.3381,-0.0300
0.8740,0.0208,0.3384,-0.0400
0.8760,0.0210,0.3388,-0.0500
0.8780,0.0211,0.3391,-0.0600
0.8800,0.0213,0.3394,-0.0700
0.8820,0.0214,0.3396,-0.0800
0.8840,0.0216,0.3398,-0.0900
0.8860,0.0218,0.3400,-0.1000
0.8880,0.0219,0.3402,-0.1000
0.8900,0.0221,0.3404,-0.1100
0.8920,0.0222,0.3405,-0.1200
0.8940,0.0224,0.3406,-0.1300
0.8960,0.0225,0.3406,-0.1400
0.8980,0.0227,0.3407,-0.1500
0.9000,0.0229,0.3407,-0.1600
0.9020,0.0230,0.3406,-0.1600
0.9040,0.0232,0.3406,-0.1700
0.9060,0.0233,0.3405,-0.1800
0.9080,0.0235,0.3404,-0.1900
0.9100,0.0237,0.3403,-0.2000
0.9120,0.0238,0.3401,-0.2100
0.9140,0.0240,0.3399,-0.2100
0.9160,0.0241,0.3397,-0.2200
0.9180,0.0243,0.3395,-0.2300
0.9200,0.0244,0.3392,-0.2400
0.9220,0.0246,0.3389,-0.2500
0.9240,0.0247,0.3386,-0.2600
0.9260,0.0249,0.3382,-0.2600
0.9280,0.0251,0.3378,-0.2700
0.9300,0.0252,0.3374,-0.2800
0.9320,0.0254,0.3370,-0.2900
0.9340,0.0255,0.3365,-0.3000
0.9360,0.0257,0.3361,-0.3000
0.9380,0.0258,0.3356,-0.3100
0.9400,0.0260,0.3350,-0.3200
0.9420,0.0261,0.3345,-0.3300
0.9440,0.0263,0.3339,-0.3300
0.9460,0.0264,0.3333,-0.3400
0.9480,0.0266,0.3326,-0.3500
0.9500,0.0268,0.3320,-0.3600
0.9520,0.0269,0.3313,-0.3600
0.9540,0.0271,0.3305,-0.3700
0.9560,0.0272,0.3298,-0.3800
0.9580,0.0274,0.3290,-0.3900
0.9600,0.0275,0.3282,-0.3900
0.9620,0.0277,0.3274,-0.4000
0.9640,0.0278,0.3266,-0.4100
0.9660,0.0280,0.3257,-0.4100
0.9680,0.0281,0.3248,-0.4200
0.9700,0.0283,0.3239,-0.4300
0.9720,0.0284,0.3229,-0.4300
0.9740,0.0286,0.3220,-0.4400
0.9760,0.0287,0.3210,-0.4400
0.9780,0.0289,0.3200,-0.4500
0.9800,0.0290,0.3189,-0.4600
0.9820,0.0292,0.3178,-0.4600
0.9840,0.0293,0.3167,-0.4700
0.9860,0.0295,0.3156,-0.4800
0.9880,0.0296,0.3145,-0.4800
0.9900,0.0298,0.3133,-0.4900
0.9920,0.0299,0.3121,-0.4900
0.9940,0.0301,0.3109,-0.5000
0.9960,0.0302,0.3097,-0.5000
0.9980,0.0304,0.3084,-0.5100
1.0000,0.0305,0.3071,-0.5100
1.0020,0.0306,0.3058,-0.5200
1.0040,0.0308,0.3045,-0.5200
1.0060,0.0309,0.3031,-0.5300
1.0080,0.0311,0.3018,-0.5300
1.0100,0.0312,0.3004,-0.5400
1.0120,0.0314,0.2990,-0.5400
1.0140,0.0315,0.2975,-0.5500
1.0160,0.0317,0.2961,-0.5500
1.0180,0.0318,0.2946,-0.5500
1.0200,0.0319,0.2931,-0.5600
1.0220,0.0321,0.2915,-0.5600
1.0240,0.0322,0.2900,-0.5700
1.0260,0.0324,0.2884,-0.5700
1.0280,0.0325,0.2868,-0.5700
1.0300,0.0327,0.2852,-0.5800
1.0320,0.0328,0.2835,-0.5800
1.0340,0.0329,0.2819,-0.5800
1.0360,0.0331,0.2802,-0.5800
1.0380,0.0332,0.2785,-0.5900
1.0400,0.0334,0.2768,-0.5900
1.0420,0.0335,0.2750,-0.5900
1.0440,0.0336,0.2733,-0.6000
1.0460,0.0338,0.2715,-0.6000
1.0480,0.0339,0.2697,-0.6000
1.0500,0.0341,0.2678,-0.6000
1.0520,0.0342,0.2660,-0.6000
1.0540,0.0343,0.2641,-0.6100
1.0560,0.0345,0.2622,-0.6100
1.0580,0.0346,0.2603,-0.6100
1.0600,0.0347,0.2584,-0.6100
1.0620,0.0349,0.2564,-0.6100
1.0640,0.0350,0.2545,-0.6100
1.0660,0.0351,0.2525,-0.6100
1.0680,0.0353,0.2505,-0.6100
1.0700,0.0354,0.2485,-0.6100
1.0720,0.0355,0.2464,-0.6100
1.0740,0.0357,0.2443,-0.6200
1.0760,0.0358,0.2423,-0.6200
1.0780,0.0359,0.2402,-0.6200
1.0800,0.0361,0.2380,-0.6200
1.0820,0.0362,0.2359,-0.6100
1.0840,0.0363,0.2338,-0.6100
1.0860,0.0365,0.2316,-0.6100
1.0880,0.0366,0.2294,-0.6100
1.0900,0.0367,0.2272,-0.6100
1.0920,0.0369,0.2249,-0.6100
1.0940,0.0370,0.2227,-0.6100
1.0960,0.0371,0.2204,-0.6100
1.0980,0.0373,0.2182,-0.6100
1.1000,0.0374,0.2159,-0.6100
1.1020,0.0375,0.2135,-0.6000
1.1040,0.0377,0.2112,-0.6000
1.1060,0.0378,0.2088,-0.6000
1.1080,0.0379,0.2065,-0.6000
1.1100,0.0380,0.2041,-0.5900
1.1120,0.0382,0.2017,-0.5900
1.1140,0.0383,0.1993,-0.5900
1.1160,0.0384,0.1968,-0.5900
1.1180,0.0385,0.1944,-0.5800
1.1200,0.0387,0.1919,-0.5800
1.1220,0.0388,0.1894,-0.5800
1.1240,0.0389,0.1869,-0.5700
1.1260,0.0390,0.1844,-0.5700
1.1280,0.0392,0.1819,-0.5700
1.1300,0.0393,0.1793,-0.5600
1.1320,0.0394,0.1768,-0.5600
1.1340,0.0395,0.1742,-0.5500
1.1360,0.0397,0.1716,-0.5500
1.1380,0.0398,0.1690,-0.5400
1.1400,0.0399,0.1663,-0.5400
1.1420,0.0400,0.1637,-0.5300
1.1440,0.0402,0.1610,-0.5300
1.1460,0.0403,0.1583,-0.5200
1.1480,0.0404,0.1557,-0.5200
1.1500,0.0405,0.1529,-0.5100
1.1520,0.0406,0.1502,-0.5100
1.1540,0.0408,0.1475,-0.5000
1.1560,0.0409,0.1447,-0.4900
1.1580,0.0410,0.1420,-0.4900
1.1600,0.0411,0.1392,-0.4800
1.1620,0.0413,0.1364,-0.4700
1.1640,0.0414,0.1336,-0.4700
1.1660,0.0415,0.1308,-0.4600
1.1680,0.0416,0.1279,-0.4500
1.1700,0.0417,0.1251,-0.4400
1.1720,0.0418,0.1222,-0.4400
1.1740,0.0420,0.1193,-0.4300
1.1760,0.0421,0.1164,-0.4200
1.1780,0.0422,0.1135,-0.4100
1.1800,0.0423,0.1106,-0.4000
1.1820,0.0424,0.1076,-0.4000
1.1840,0.0426,0.1047,-0.3900
1.1860,0.0427,0.1017,-0.3800
1.1880,0.0428,0.0988,-0.3700
1.1900,0.0429,0.0958,-0.3600
1.1920,0.0430,0.0928,-0.3500
1.1940,0.0431,0.0897,-0.3400
1.1960,0.0432,0.0867,-0.3300
1.1980,0.0434,0.0837,-0.3200
1.2000,0.0435,0.0806,-0.3100
1.2020,0.0436,0.0775,-0.3000
1.2040,0.0437,0.0744,-0.2900
1.2060,0.0438,0.0713,-0.2800
1.2080,0.0439,0.0682,-0.2700
1.2100,0.0440,0.0651,-0.2600
1.2120,0.0442,0.0620,-0.2500
1.2140,0.0443,0.0588,-0.2400
1.2160,0.0444,0.0556,-0.2200
1.2180,0.0445,0.0525,-0.2100
1.2200,0.0446,0.0493,-0.2000
1.2220,0.0447,0.0461,-0.1900
1.2240,0.0448,0.0429,-0.1800
1.2260,0.0449,0.0396,-0.1600
1.2280,0.0451,0.0364,-0.1500
1.2300,0.0452,0.0332,-0.1400
1.2320,0.0453,0.0299,-0.1300
1.2340,0.0454,0.0266,-0.1100
1.2360,0.0455,0.0233,-0.1000
1.2380,0.0456,0.0200,-0.0900
1.2400,0.0457,0.0167,-0.0700
1.2420,0.0458,0.0134,-0.0600
1.2440,0.0459,0.0101,-0.0400
1.2460,0.0460,0.0067,-0.0300
1.2480,0.0461,0.0034,-0.0100
1.2500,0.0463,0.0000,0.0000
1.2520,0.0463,0.0000,0.0000
1.2540,0.0463,0.0000,0.0000
1.2560,0.0463,0.0000,0.0000
1.2580,0.0463,0.0000,0.0000
1.2600,0.0463,0.0000,0.0000
1.2620,0.0463,0.0000,0.0000
1.2640,0.0463,0.0000,0.0000
1.2660,0.0463,0.0000,0.0000
1.2680,0.0463,0.0000,0.0000
1.2700,0.0463,0.0000,0.0000
1.2720,0.0463,0.0000,0.0000
1.2740,0.0463,0.0000,0.0000
1.2760,0.0463,0.0000,0.0000
1.2780,0.0463,0.0000,0.0000
1.2800,0.0463,0.0000,0.0000
1.2820,0.0463,0.0000,0.0000
1.2840,0.0463,0.0000,0.0000
1.2860,0.0463,0.0000,0.0000
1.2880,0.0463,0.0000,0.0000
1.2900,0.0463,0.0000,0.0000
1.2920,0.0463,0.0000,0.0000
1.2940,0.0463,0.0000,0.0000
1.2960,0.0463,0.0000,0.0000
1.2980,0.0463,0.0000,0.0000
